,funded_amnt_inv,int_rate,installment,annual_inc,loan_status,dti,revol_bal,revol_util,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt
0,4975.0,10.65,162.87,24000.0,0.0,27.65,13648.0,83.7,5833.84,5000.0,863.16,0.0,0.0,0.0,171.62
1,2500.0,15.27,59.83,30000.0,1.0,1.0,1687.0,9.4,1014.53,456.46,435.17,0.0,122.9,1.11,119.66
2,2400.0,15.96,84.33,12252.0,0.0,8.72,2956.0,98.5,3005.67,2400.0,605.67,0.0,0.0,0.0,649.91
3,10000.0,13.49,339.31,49200.0,0.0,20.0,5598.0,21.0,12231.89,10000.0,2214.92,16.97,0.0,0.0,357.48
4,3000.0,12.69,67.79,80000.0,0.0,17.94,27783.0,53.9,4066.91,3000.0,1066.91,0.0,0.0,0.0,67.3
5,5000.0,7.9,156.46,36000.0,0.0,11.2,7963.0,28.3,5632.21,5000.0,632.21,0.0,0.0,0.0,161.03
6,7000.0,15.96,170.08,47004.0,0.0,23.51,17726.0,85.6,10137.84,7000.0,3137.84,0.0,0.0,0.0,1313.76
7,3000.0,18.64,109.43,48000.0,0.0,5.35,8221.0,87.5,3939.14,3000.0,939.14,0.0,0.0,0.0,111.34
8,5600.0,21.28,152.39,40000.0,1.0,5.55,5210.0,32.6,647.5,162.02,294.94,0.0,190.54,2.09,152.39
9,5350.0,12.69,121.45,15000.0,1.0,18.08,9279.0,36.5,1477.7,673.48,533.42,0.0,277.69,2.52,121.45
10,6500.0,14.65,153.45,72000.0,0.0,16.12,4032.0,20.6,7678.02,6500.0,1178.02,0.0,0.0,0.0,1655.54
11,12000.0,12.69,402.54,75000.0,0.0,10.78,23336.0,67.1,13947.99,12000.0,1947.99,0.0,0.0,0.0,6315.3
12,9000.0,13.49,305.38,30000.0,1.0,10.08,10452.0,91.7,2277.32,1256.14,570.26,0.0,450.92,4.16,305.38
13,3000.0,9.91,96.68,15000.0,0.0,12.56,7323.0,43.1,3480.27,3000.0,480.27,0.0,0.0,0.0,102.43
14,10000.0,10.65,325.74,100000.0,1.0,7.06,11997.0,55.5,7471.99,5433.47,1393.42,0.0,645.1,6.3145,325.74
15,1000.0,16.29,35.31,28000.0,0.0,20.31,6524.0,81.5,1270.72,1000.0,270.72,0.0,0.0,0.0,36.32
16,10000.0,15.27,347.98,42000.0,0.0,18.6,24043.0,70.2,12527.15,10000.0,2527.15,0.0,0.0,0.0,370.46
17,3600.0,6.03,109.57,110000.0,0.0,10.52,22836.0,16.0,3785.27,3600.0,185.27,0.0,0.0,0.0,583.45
18,6000.0,11.71,198.46,84000.0,0.0,18.44,0.0,37.73,7167.07,6000.0,1152.07,15.000000030499999,0.0,0.0,16.98
19,9200.0,6.03,280.01,77385.19,0.0,9.86,7314.0,23.1,9460.0,9200.0,260.0,0.0,0.0,0.0,8061.1
20,19142.16107714741,15.27,484.63,43370.0,0.0,26.53,17813.0,85.6,25433.6,20250.0,7429.05,0.0,0.0,0.0,6024.09
21,21000.0,12.42,701.73,105000.0,1.0,13.22,32135.0,90.3,14034.6,10694.96,3330.44,0.0,9.2,0.0,701.73
22,10000.0,11.71,330.76,50000.0,0.0,11.18,10056.0,82.4,11907.35,10000.0,1907.35,0.0,0.0,0.0,349.21
23,10000.0,11.71,330.76,50000.0,0.0,16.01,17800.0,91.8,11540.89,10000.0,1540.89,0.0,0.0,0.0,4942.63
24,6000.0,11.71,198.46,76000.0,1.0,2.4,5963.0,29.7,2055.85,1305.58,475.25,0.0,275.02,2.57,198.46
25,15000.0,9.91,483.38,92000.0,0.0,29.44,13707.0,93.9,15824.0,15000.0,824.0,0.0,0.0,0.0,2447.05
26,8725.0,14.27,514.64,60000.0,1.0,15.22,5872.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,5000.0,16.77,123.65,50004.0,1.0,13.97,4345.0,59.5,1611.16,629.05,719.11,0.0,263.0,2.3,123.65
28,4000.0,11.71,132.31,106000.0,0.0,5.63,6110.0,37.7,4486.29,4000.0,486.29,0.0,0.0,0.0,2638.77
29,8500.0,11.71,281.15,25000.0,0.0,12.19,6441.0,59.1,10126.09,8500.0,1626.09,0.0,0.0,0.0,581.59
30,4375.0,7.51,136.11,17108.0,0.0,20.34,11210.0,86.9,4899.96,4375.0,524.96,0.0,0.0,0.0,144.94
31,31825.0,7.9,995.82,75000.0,0.0,14.03,23151.0,27.4,34886.91,31825.0,3061.91,0.0,0.0,0.0,16966.7
32,9975.0,15.96,242.97,29120.0,0.0,22.83,16158.0,63.6,14540.78,10000.0,4577.22,0.0,0.0,0.0,241.99
33,5000.0,8.9,158.77,24044.0,0.0,11.93,2224.0,29.3,5715.56,5000.0,715.56,0.0,0.0,0.0,163.64
34,7000.0,15.96,245.97,34000.0,0.0,6.35,6113.0,60.5,8854.51,7000.0,1854.51,0.0,0.0,0.0,260.74
35,12400.0,10.65,403.91,41000.0,0.0,11.8,11095.0,57.2,14540.68,12400.0,2140.68,0.0,0.0,0.0,417.61
36,10800.0,9.91,348.03,55596.0,0.0,5.5,2535.0,13.3,12159.19,10800.0,1359.19,0.0,0.0,0.0,3483.79
37,15000.0,7.9,469.36,45000.0,0.0,8.48,6704.0,50.4,16663.34,15000.0,1663.34,0.0,0.0,0.0,5872.8
38,6000.0,12.42,200.5,36852.0,0.0,10.62,7310.0,66.5,7127.72,6000.0,1127.72,0.0,0.0,0.0,1923.53
39,12475.0,12.69,282.44,27000.0,0.0,16.04,10143.0,50.0,16911.98,12500.0,4445.88,0.0,0.0,0.0,281.92
40,9600.0,7.51,298.67,68004.0,0.0,6.63,2896.0,18.1,10751.87,9600.0,1151.87,0.0,0.0,0.0,311.56
41,12000.0,7.9,375.49,62300.0,0.0,16.7,8601.0,21.0,13517.36,12000.0,1517.36,0.0,0.0,0.0,380.98
42,3000.0,18.25,108.84,65000.0,0.0,17.39,43936.0,98.1,3917.95,3000.0,917.95,0.0,0.0,0.0,115.38
43,4400.0,16.77,156.37,55000.0,0.0,20.01,25237.0,99.0,5629.27,4400.0,1229.27,0.0,0.0,0.0,162.44
44,6000.0,6.03,182.62,45600.0,0.0,5.34,3378.0,32.5,6065.86,6000.0,65.86,0.0,0.0,0.0,15.01
45,14000.0,9.91,451.15,80000.0,0.0,10.0,2219.0,13.4,16241.38,14000.0,2241.38,0.0,0.0,0.0,457.91
46,5000.0,8.9,158.77,100000.0,1.0,16.33,74351.0,62.1,5028.87,4217.38,696.99,0.0,114.5,1.07,158.77
47,10000.0,10.65,325.74,27000.0,0.0,11.47,7814.0,52.3,11726.32,10000.0,1726.32,0.0,0.0,0.0,332.92
48,10000.0,6.03,304.36,60000.0,0.0,12.74,14019.0,19.5,10282.71,10000.0,282.71,0.0,0.0,0.0,8762.05
49,11000.0,6.62,337.75,70000.0,0.0,10.85,11638.0,36.4,12158.61,11000.0,1158.61,0.0,0.0,0.0,346.13
50,15000.0,9.91,483.38,80000.0,1.0,9.12,11845.0,63.7,16177.77,13556.45,2374.34,24.17,222.81,36.3708,483.38
51,25350.0,9.91,824.96,110000.0,0.0,15.71,26088.0,62.0,29408.49,25600.0,4098.51,0.0,0.0,0.0,838.27
52,7000.0,10.65,228.02,40000.0,0.0,7.38,12168.0,92.9,8208.41,7000.0,1208.41,0.0,0.0,0.0,240.27
53,12000.0,15.96,421.65,50000.0,1.0,20.88,15793.0,90.8,3531.77,1903.66,1039.35,0.0,588.76,5.49,421.65
54,12000.0,9.91,386.7,46000.0,0.0,8.11,12143.0,52.1,13751.14,12000.0,1751.14,0.0,0.0,0.0,964.73
55,20975.0,19.91,555.33,50000.0,1.0,21.58,19448.0,97.6,18304.09,8990.81,9328.33,0.0,6.75,0.0,555.33
56,15950.0,19.91,423.11,81000.0,0.0,20.52,27884.0,75.1,20816.84,16000.0,4882.1,0.0,0.0,0.0,9931.02
57,10000.0,12.42,334.16,39000.0,0.0,18.58,12874.0,72.7,11477.1,10000.0,1477.1,0.0,0.0,0.0,5803.94
58,10000.0,10.65,325.74,51400.0,0.0,19.14,10160.0,59.1,10576.43,10000.0,576.43,0.0,0.0,0.0,8627.74
59,7100.0,16.77,252.33,33000.0,0.0,24.0,6021.0,91.2,9083.53,7100.0,1983.53,0.0,0.0,0.0,262.78
60,13000.0,12.69,293.74,30000.0,0.0,13.72,17080.0,58.9,17402.24,13000.0,4402.24,0.0,0.0,0.0,3596.46
61,8925.0,17.27,223.74,40000.0,0.0,19.47,10724.0,58.9,13190.15,8950.0,4277.1,0.0,0.0,0.0,2487.58
62,17675.0,14.65,417.25,50000.0,0.0,16.46,6661.0,57.4,21323.87,17675.0,3648.87,0.0,0.0,0.0,13814.81
63,8000.0,16.77,284.31,62000.0,0.0,21.64,6088.0,66.9,10273.24,8000.0,2258.24,15.000000000014,0.0,0.0,606.54
64,9975.0,10.65,215.69,45996.0,1.0,21.73,11170.0,30.1,8751.08,5495.38,2429.23,1.0,847.3,152.514,1.0
65,3500.0,10.65,114.01,55000.0,0.0,5.39,6611.0,45.9,4104.21,3500.0,604.21,0.0,0.0,0.0,118.32
66,8925.0,17.27,223.11,30000.0,1.0,13.16,9844.0,70.8,5577.75,2812.82,2742.43,0.0,22.5,0.0,223.11
67,16425.0,14.27,563.53,44544.0,0.0,22.71,15747.0,83.4,18174.83,16425.0,1749.83,0.0,0.0,0.0,13108.71
68,8200.0,21.28,223.14,75000.0,1.0,12.48,9012.0,73.9,4177.11,1525.83,2265.85,0.0,385.43,3.6,223.14
69,15000.0,14.65,517.42,61000.0,0.0,11.88,19397.0,79.5,18565.15,15000.0,3565.15,0.0,0.0,0.0,2533.38
70,13550.0,17.58,341.63,44000.0,0.0,18.79,20657.0,79.4,18079.1,13575.0,4537.46,0.0,0.0,0.0,9245.21
71,6400.0,16.77,227.45,75000.0,1.0,20.22,7159.0,67.5,4776.45,3334.25,1431.91,0.0,10.29,0.0,227.45
72,3000.0,13.49,101.8,33600.0,0.0,18.11,2745.0,83.2,3247.89,3000.0,247.89,0.0,0.0,0.0,2539.58
73,12000.0,16.77,426.47,50000.0,0.0,20.57,11443.0,97.0,15352.48,12000.0,3352.48,0.0,0.0,0.0,441.52
74,14400.0,8.9,457.25,150000.0,0.0,14.85,63864.0,55.0,16460.85,14400.0,2060.85,0.0,0.0,0.0,464.02
75,12000.0,14.65,413.94,90000.0,0.0,16.56,17116.0,78.5,12699.71,12000.0,699.71,0.0,0.0,0.0,11046.6
76,11000.0,13.49,373.24,48000.0,0.0,21.82,11382.0,65.0,13418.28,11000.0,2418.28,0.0,0.0,0.0,1491.29
77,7175.0,21.67,197.51,75000.0,0.0,24.82,21706.0,91.2,8176.29,7200.0,1004.77,0.0,0.0,0.0,6824.7
78,15000.0,7.9,469.36,52000.0,0.0,9.65,1616.0,6.7,15557.68,15000.0,557.68,0.0,0.0,0.0,312.74
79,18000.0,19.91,475.99,65000.0,0.0,6.81,11745.0,77.8,26034.66,18000.0,8010.86,23.80000006407,0.0,0.0,10783.73
80,22050.0,17.27,551.84,150000.0,0.0,7.51,7334.0,53.3,28854.39,22075.0,6812.1,0.0,0.0,0.0,15660.22
81,10000.0,14.27,343.09,68000.0,0.0,15.39,11303.0,81.3,10672.89,10000.0,672.89,0.0,0.0,0.0,8962.31
82,11800.0,12.69,395.83,42000.0,0.0,9.86,8940.0,74.8,14249.84,11800.0,2449.84,0.0,0.0,0.0,419.36
83,4500.0,6.03,136.96,53000.0,0.0,4.44,8630.0,13.9,4930.56,4500.0,430.56,0.0,0.0,0.0,138.95
84,7000.0,12.69,234.82,35000.0,0.0,11.35,7649.0,82.3,8453.26,7000.0,1453.26,0.0,0.0,0.0,248.19
85,9200.0,12.42,307.43,60000.0,0.0,19.96,23299.0,78.7,10482.84,9200.0,1282.84,0.0,0.0,0.0,365.48
86,13975.0,17.27,349.98,28000.0,0.0,6.34,6986.0,79.4,20960.53,14000.0,6998.02,0.0,0.0,0.0,349.2
87,4475.0,10.65,97.06,42000.0,0.0,5.4,8220.0,78.3,4883.39,4500.0,410.67,0.0,0.0,0.0,3946.24
